SOC,Approximate OCV from Data
0.0,2.92898
0.005,3.039728129156173
0.01,3.1070216652063194
0.015,3.158886472893621
0.02,3.2015506719335605
0.025,3.237241668048073
0.03,3.2677544345132445
0.035,3.2935255258837315
0.04,3.315257148705831
0.045,3.333082763620134
0.05,3.347383256446805
0.055,3.3589861155592273
0.06,3.3690836049348087
0.065,3.3788477825743954
0.07,3.3884350008989768
0.075,3.397704084266983
0.08,3.406796942534088
0.085,3.4157069126589943
0.09,3.4241136583784435
0.095,3.432020275152156
0.1,3.438730073002008
0.105,3.4435968908221493
0.11,3.4476261653224523
0.115,3.45115298135991
0.12,3.4546784535943127
0.125,3.458033805827409
0.13,3.4613891580605056
0.135,3.4647472633300396
0.14,3.4681052003091195
0.145,3.4714605473247677
0.15,3.4751554212439033
0.155,3.4790114252988618
0.16,3.4832188002040234
0.165,3.4877668730848925
0.17,3.492796179983655
0.17500000000000002,3.498181384838535
0.18,3.5037393751283115
0.185,3.509632789709586
0.19,3.5156710244978604
0.195,3.5215573156332685
0.2,3.5271073848704133
0.20500000000000002,3.5324730281966272
0.21,3.5376908585281956
0.215,3.5429171769148113
0.22,3.5484469379323533
0.225,3.5538247533233447
0.23,3.5588570092001657
0.23500000000000001,3.5635626658867037
0.24,3.5679279857833754
0.245,3.572463979259779
0.25,3.577172673363059
0.255,3.5822324772482386
0.26,3.5876209286846783
0.265,3.592809785377746
0.27,3.5973227857693897
0.275,3.600852314115847
0.28,3.604018128292263
0.28500000000000003,3.607037286598234
0.29,3.609746043843084
0.295,3.612567344100864
0.3,3.615252850584972
0.305,3.6179311925513193
0.31,3.6204465599094644
0.315,3.62293432671746
0.32,3.625278386420845
0.325,3.627481947782843
0.33,3.629828614323109
0.335,3.63213564279037
0.34,3.6343449915266666
0.34500000000000003,3.6366920850553095
0.35000000000000003,3.639037113806624
0.355,3.6413841518696803
0.36,3.6438638399653858
0.365,3.6462358857713566
0.37,3.648712967273423
0.375,3.6512287479478145
0.38,3.653740202913705
0.385,3.6562843798431572
0.39,3.658969219930505
0.395,3.6618180912523433
0.4,3.6646753122509486
0.405,3.667524818735057
0.41000000000000003,3.6705419122636997
0.41500000000000004,3.6735638756859044
0.42,3.676745351142848
0.425,3.6799303608658227
0.43,3.6832853705887976
0.435,3.6868103803117727
0.44,3.690336888989952
0.445,3.6938996685836334
0.45,3.697767066085764
0.455,3.701625879122701
0.46,3.7054904238267388
0.465,3.709566347858516
0.47000000000000003,3.7137218475628804
0.47500000000000003,3.717915641476871
0.48,3.7222818618893316
0.485,3.7266491625064826
0.49,3.7310509841464348
0.495,3.7355935081782126
0.5,3.7401084003747074
0.505,3.744388191488412
0.51,3.7489936600306035
0.515,3.753257741554028
0.52,3.7576911238866395
0.525,3.76229979164143
0.53,3.7667385381363765
0.535,3.771168472801627
0.54,3.7756008570271513
0.545,3.780025263054289
0.55,3.7844702170295514
0.555,3.788899124997842
0.56,3.793339349706975
0.5650000000000001,3.797769695759982
0.5700000000000001,3.8022887793623954
0.5750000000000001,3.806810563677516
0.58,3.8114273742352065
0.585,3.8161808098170167
0.59,3.821034665735786
0.595,3.826226081547069
0.6,3.83175819718241
0.605,3.837595751931069
0.61,3.8435482757563197
0.615,3.849830007673445
0.62,3.8561101394972024
0.625,3.86222493535258
0.63,3.868128568035321
0.635,3.8736522017668937
0.64,3.8790019106315152
0.645,3.884026534685517
0.65,3.88867229802868
0.655,3.8932771009037586
0.66,3.897543501860648
0.665,3.901702365041454
0.67,3.905743282514585
0.675,3.9097386073450955
0.68,3.9137567284969164
0.685,3.917603351526985
0.6900000000000001,3.921614921250279
0.6950000000000001,3.9254610694227337
0.7000000000000001,3.9294857614842678
0.705,3.933490306404412
0.71,3.9375023025056586
0.715,3.9417653867958813
0.72,3.946036782109726
0.725,3.9503003463212085
0.73,3.954734593770064
0.735,3.9591620303369037
0.74,3.9639108877745546
0.745,3.96854231177098
0.75,3.973309919347126
0.755,3.9781431485410246
0.76,3.983166524633557
0.765,3.9881412929527027
0.77,3.9932137123917437
0.775,3.9982353033966658
0.78,4.003212974458231
0.785,4.00845142525432
0.79,4.0134712228027665
0.795,4.018626977565431
0.8,4.023512518154867
0.805,4.028363724881365
0.81,4.033212303740696
0.8150000000000001,4.0378775426790785
0.8200000000000001,4.04230758161746
0.8250000000000001,4.046728250629603
0.8300000000000001,4.05083495356537
0.835,4.054764253855717
0.84,4.058444595869012
0.845,4.06178493918157
0.85,4.064706987041347
0.855,4.067464632051746
0.86,4.069711070990128
0.865,4.071794445738786
0.87,4.073468038194955
0.875,4.075127941957028
0.88,4.0766250544116405
0.885,4.0779801107413265
0.89,4.079442970811948
0.895,4.080771922610185
0.9,4.0821000307309765
0.905,4.083457597698365
0.91,4.085092444980714
0.915,4.086716264704007
0.92,4.088419954060988
0.925,4.09025138131595
0.93,4.092287271117983
0.935,4.094589006308093
0.9400000000000001,4.0971331975615515
0.9450000000000001,4.100054588161879
0.9500000000000001,4.103343633475724
0.9550000000000001,4.106954746112404
0.96,4.111050185520737
0.965,4.115921607999937
0.97,4.12129763587846
0.975,4.127593318706366
0.98,4.1349068848863535
0.985,4.143132865082087
0.99,4.152858088149963
0.995,4.164138960591667
1.0,4.176073968792684
